Country,Corruption.Control,Reg.Quality,PIKE.regional,PCPI,Mean.schooling,Illegal
Central Africa,-0.784250428,-0.660781858,0.688521258,0.466036542,-0.096280147,0.485071803
Eastern Africa,0.040517076,-0.014426535,0.361902968,0.00627497,-0.089069364,-0.217979614
Southern Africa,0.780955071,0.421350803,0.369876228,-0.271087305,0.703742479,-0.443317523
Western Africa,-0.065624991,0.246769756,0.603310687,-0.143487584,-0.795265018,0.179516251